,sample_name,dose,timepoint,drug,viability
399,BULK6_n2,d9,48h,Cytarabine,0.702456586192291
400,BULK6_n2,d10,48h,Cytarabine,0.618805590851334
401,SUDHL4_n1,d1,48h,Doxorubicin,1.44261477045908
402,SUDHL4_n1,d2,48h,Doxorubicin,1.4690618762475
403,SUDHL4_n1,d3,48h,Doxorubicin,1.31087824351297
404,SUDHL4_n1,d4,48h,Doxorubicin,1.22604790419162
405,SUDHL4_n1,d5,48h,Doxorubicin,1.37025948103792
406,SUDHL4_n1,d6,48h,Doxorubicin,1.27395209580838
407,SUDHL4_n1,d7,48h,Doxorubicin,0.812375249500998
408,SUDHL4_n1,d8,48h,Doxorubicin,0.0508982035928144
409,SUDHL4_n1,d9,48h,Doxorubicin,0
410,SUDHL4_n1,d10,48h,Doxorubicin,0
411,SUDHL4_n2,d1,48h,Doxorubicin,1.21810154525386
412,SUDHL4_n2,d2,48h,Doxorubicin,1.22869757174393
413,SUDHL4_n2,d3,48h,Doxorubicin,1.14657836644592
414,SUDHL4_n2,d4,48h,Doxorubicin,1.15894039735099
415,SUDHL4_n2,d5,48h,Doxorubicin,1.30331125827815
416,SUDHL4_n2,d6,48h,Doxorubicin,1.26136865342163
417,SUDHL4_n2,d7,48h,Doxorubicin,0.736423841059603
418,SUDHL4_n2,d8,48h,Doxorubicin,0.0498896247240618
419,SUDHL4_n2,d9,48h,Doxorubicin,0
420,SUDHL4_n2,d10,48h,Doxorubicin,0.000883002207505519
421,K562_n1,d1,48h,Doxorubicin,1.08456826714088
422,K562_n1,d2,48h,Doxorubicin,1.11104524797471
423,K562_n1,d3,48h,Doxorubicin,1.1725943489429
424,K562_n1,d4,48h,Doxorubicin,1.13040901007706
425,K562_n1,d5,48h,Doxorubicin,0.982908516103537
426,K562_n1,d6,48h,Doxorubicin,0.691365342817625
427,K562_n1,d7,48h,Doxorubicin,0.160541394981229
428,K562_n1,d8,48h,Doxorubicin,0
429,K562_n1,d9,48h,Doxorubicin,0
430,K562_n1,d10,48h,Doxorubicin,0
431,K562_n2,d1,48h,Doxorubicin,1.04190421892816
432,K562_n2,d2,48h,Doxorubicin,1.04114405169137
433,K562_n2,d3,48h,Doxorubicin,1.05558722919042
434,K562_n2,d4,48h,Doxorubicin,1.0189091600152
435,K562_n2,d5,48h,Doxorubicin,0.914481185860889
436,K562_n2,d6,48h,Doxorubicin,0.639870771569745
437,K562_n2,d7,48h,Doxorubicin,0.152983656404409
438,K562_n2,d8,48h,Doxorubicin,0
439,K562_n2,d9,48h,Doxorubicin,0
440,K562_n2,d10,48h,Doxorubicin,0
441,HL60_n1,d1,48h,Doxorubicin,1.41535776614311
442,HL60_n1,d2,48h,Doxorubicin,1.28272251308901
443,HL60_n1,d3,48h,Doxorubicin,1.29319371727749
444,HL60_n1,d4,48h,Doxorubicin,1.13961605584642
